PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,LastName,CabinSector,CabinRoom,CabinClass,Associates,TotalSpend,HomePlanet_X_Destination,HomePlanet_X_Destination_X_CryoSleep,CabinSector_X_CabinRoom,CabinSector_X_CabinRoom_X_CabinClass
0067_01,1,2,2,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1186,7,3,2,3,0.0,6,34,4044,4988
0067_02,1,1,3,18.0,1,1.0,258.0,446.0,0.0,0.0,1,1186,7,3,2,3,705.0,7,36,4044,4988
0067_03,1,1,1,21.0,1,1946.0,37.0,0.0,0.0,24.0,0,1186,6,550,2,3,2007.0,5,30,2632,2684
0068_01,3,1,3,30.18571209908298,1,793.0,0.0,2.0,253.0,0.0,0,175,5,1154,2,1,1048.0,15,16,1103,173
0069_01,1,1,3,42.0,1,887.0,0.0,9.0,6.0,0.0,1,0,6,648,2,1,902.0,7,36,2738,2849
0070_01,1,1,3,19.0,1,190.0,0.0,5.0,1.0,726.0,0,252,6,330,1,1,922.0,7,36,2421,2341
0071_01,1,1,3,17.0,1,16.0,2165.0,0.0,0.0,52.0,0,585,6,441,1,1,2233.0,7,36,2528,2509
0072_01,1,1,3,14.0,1,0.0,1.0,0.0,0.0,1063.0,0,239,6,750,2,1,1064.0,7,36,2851,3031
0073_01,3,1,2,37.0,1,46.0,83.0,738.0,0.0,12.0,0,1226,4,1043,1,1,879.0,14,13,738,6122
0074_01,2,1,3,42.0,1,1.0,8397.0,0.0,0.0,506.0,1,1372,3,1043,2,1,8904.0,11,4,449,5659
0076_01,3,1,3,27.0,1,147.0,0.0,1018.0,0.0,0.0,1,537,6,847,2,1,1165.0,15,16,2954,3200
0077_01,3,1,3,28.0,1,14.0,0.0,1295.0,0.0,0.0,1,199,6,550,1,1,1309.0,15,16,2632,2683
0078_01,2,1,3,38.0,1,0.0,5840.0,0.0,321.0,9654.0,0,1567,3,1154,2,1,15815.0,11,4,492,5717
0081_01,1,2,3,13.0,1,0.0,0.0,0.0,0.0,0.0,0,2111,7,330,2,1,0.0,7,37,4074,5038
0082_01,3,1,3,42.0,1,7406.0,0.0,0.0,0.0,0.0,0,544,6,648,1,3,7406.0,15,16,2738,2848
0082_02,3,2,3,2.0,1,0.0,0.0,0.0,0.0,0.0,1,544,6,648,1,3,0.0,15,17,2738,2848
0082_03,3,1,3,8.0,1,0.0,0.0,0.0,0.0,0.0,1,0,6,648,1,3,0.0,15,16,2738,2848
0084_01,1,1,3,24.0,1,688.0,0.0,0.0,0.0,17.0,1,482,7,441,2,1,705.0,7,36,4187,5220
0085_01,2,2,3,40.0,1,0.0,0.0,0.0,0.0,0.0,1,643,3,1265,2,1,0.0,11,5,501,5734
0086_01,1,1,3,43.0,1,211.0,0.0,0.0,638.0,513.0,0,1141,6,750,1,1,1362.0,7,36,2851,3030
0088_01,3,2,2,45.0,1,0.0,0.0,0.0,0.0,0.0,1,1765,5,1265,2,1,0.0,14,14,1198,330
0090_01,1,2,3,35.0,1,0.0,0.0,0.0,0.0,0.0,1,1781,7,550,2,1,0.0,7,37,4296,5398
0091_01,1,2,3,26.0,1,-118.4739129498932,0.0,0.0,0.0,0.0,1,2216,7,648,2,2,-118.4739129498932,7,37,4319,5434
0091_02,1,1,3,27.0,1,1.0,697.0,31.0,188.0,0.0,0,2216,6,933,2,2,917.0,7,36,3048,3329
0092_01,1,1,3,19.0,1,0.0,0.0,670.0,1.0,34.0,0,627,7,1708,1,3,705.0,7,36,3817,4610
0092_02,1,2,3,0.0,1,0.0,0.0,164.86940329829054,0.0,0.0,1,970,7,1708,1,3,164.86940329829054,7,37,3817,4610
0092_03,1,2,3,3.0,1,0.0,0.0,0.0,0.0,0.0,1,970,7,1708,1,3,0.0,7,37,3817,4610
0097_01,2,1,3,54.0,1,0.0,1208.0,0.0,3.0,637.0,0,701,1,932,2,1,1848.0,11,4,90,6408
0098_01,1,1,3,26.0,1,0.0,856.0,5.0,32.0,0.0,0,339,7,113,1,2,893.0,7,36,3242,3655
0098_02,1,1,3,26.0,1,0.0,2811.0,957.0,0.0,87.0,1,339,7,113,1,2,3855.0,7,36,3242,3655
0099_01,1,1,2,23.0,1,311.0,427.0,526.0,37.0,0.0,0,1185,6,921,1,2,1301.0,6,33,3035,3308
0099_02,1,0,3,2.0,1,0.0,0.0,0.0,0.0,0.0,1,469,7,221,1,2,0.0,7,35,3968,4858
0101_01,3,2,3,31.0,1,0.0,0.0,0.0,0.0,0.0,1,2044,0,0,0,1,0.0,15,17,0,0
0102_01,1,1,3,18.0,1,0.0,0.0,0.0,830.0,91.0,0,991,6,966,2,1,921.0,7,36,3081,3383
0103_01,1,1,3,24.0,1,0.0,247.19951990248367,0.0,0.0,17.0,1,1277,6,977,2,3,264.19951990248364,7,36,3090,3400
0103_02,1,2,1,9.0,1,0.0,0.0,0.0,0.0,0.0,1,1277,7,847,2,3,0.0,5,31,4356,5497
0103_03,1,2,3,6.0,1,0.0,0.0,0.0,0.0,0.0,0,1277,7,847,2,3,0.0,7,37,4356,5497
0105_01,1,0,3,27.0,1,0.0,0.0,570.0,2.0,131.0,0,411,6,944,1,1,703.0,7,35,3059,3347
0107_01,3,1,3,21.0,1,1743.0,5.0,17.0,0.0,0.0,0,930,4,932,2,1,1765.0,15,16,903,6398
0108_01,1,2,3,23.0,1,0.0,0.0,0.0,0.0,0.0,0,915,7,921,2,3,0.0,7,37,4374,5527
0108_02,1,1,3,31.0,1,562.0,0.0,326.0,0.0,0.0,0,0,7,921,2,3,888.0,7,36,4374,5527
0108_03,1,1,3,0.0,0,0.0,0.0,0.0,0.0,0.0,1,915,7,921,2,3,0.0,7,36,4374,5527
0110_01,2,1,3,32.0,1,0.0,410.0,6.0,3929.0,764.0,0,27,0,0,0,4,5109.0,11,4,0,0
0110_02,2,0,3,40.0,1,0.0,331.0,0.0,0.0,1687.0,0,213,2,1265,1,4,2018.0,11,3,201,1671
0110_03,2,1,3,42.0,1,2209.0,11418.0,0.0,1868.0,445.0,1,27,2,1265,1,4,15940.0,11,4,201,1671
0110_04,2,2,3,28.0,1,0.0,0.0,0.0,0.0,0.0,1,27,2,1265,1,4,0.0,11,5,201,1671
0111_01,2,2,3,29.0,1,0.0,0.0,0.0,0.0,0.0,1,1985,5,1376,2,1,0.0,11,5,1287,480
0112_01,2,1,1,48.0,2,0.0,2537.0,87.0,17.0,13.0,1,499,2,2,2,1,2654.0,9,42,255,2560
0113_01,1,1,3,64.0,1,0.0,0.0,804.0,0.0,0.0,1,354,6,966,1,1,804.0,7,36,3081,3382
0114_01,1,1,3,27.0,1,82.0,157.0,429.0,238.0,1.0,0,152,7,933,2,1,907.0,7,36,4386,5545
0115_01,3,0,3,26.0,1,0.0,0.0,0.0,0.0,150.41534977329337,1,1501,6,977,1,1,150.41534977329337,15,15,3090,3399
0116_01,2,1,3,33.0,1,1.0,2223.0,0.0,12.0,404.0,1,1988,4,1154,1,1,2640.0,11,4,747,6136
0119_01,0,1,3,39.0,1,0.0,2344.0,0.0,65.0,6898.0,0,466,1,1,1,2,9307.0,3,24,1,1640
0119_02,2,2,3,13.0,1,0.0,0.0,0.0,0.0,0.0,1,466,1,1,1,2,0.0,11,5,1,1640
0120_01,3,2,3,24.0,1,0.0,0.0,0.0,0.0,-224.5248716129468,1,1765,6,988,1,1,-224.5248716129468,15,17,3101,3418
0122_01,1,1,3,29.0,1,0.0,0.0,0.0,699.0,74.0,0,939,7,944,2,1,773.0,7,36,4396,5560
0123_01,1,1,3,18.0,1,55.0,597.0,49.0,0.0,1.0,0,703,6,1010,1,1,702.0,7,36,1501,820
0126_01,3,2,3,67.0,1,0.0,0.0,0.0,0.0,0.0,1,1334,6,1010,2,1,0.0,15,17,1501,821
0127_01,3,1,3,35.0,1,701.0,0.0,296.0,0.0,25.0,0,1312,5,1486,2,1,1022.0,15,16,1306,504
0128_01,3,1,3,61.0,2,2353.0,334.0,9.0,316.0,2.0,0,724,4,1043,2,2,3014.0,15,16,738,6123
0128_02,3,1,3,45.0,1,2103.0,6.0,0.0,0.0,0.0,0,724,5,1597,2,2,2109.0,15,16,1318,524
0129_01,1,2,2,22.0,1,0.0,0.0,164.93991349223074,0.0,0.0,1,754,7,955,2,1,164.93991349223074,6,34,4408,5583
0133_01,3,2,3,19.0,1,0.0,0.0,0.0,0.0,0.0,1,198,6,1032,2,2,0.0,15,17,1520,854
0133_02,3,1,3,36.0,1,2738.0,0.0,0.0,0.0,0.0,0,198,4,1265,2,2,2738.0,15,16,758,6155
0134_01,1,1,3,19.0,1,0.0,14.0,730.0,0.0,0.0,1,926,7,750,1,1,744.0,7,36,4337,5463
0136_01,1,1,2,47.0,1,97.0,418.0,126.0,25.0,55.0,0,0,7,966,2,1,721.0,6,33,4418,5600
0138_01,1,2,3,13.0,1,0.0,0.0,0.0,0.0,0.0,1,815,7,847,1,2,0.0,7,37,4356,5496
0138_02,1,1,0,34.0,1,0.0,22.0,0.0,564.0,207.0,0,815,5,1265,1,2,793.0,4,27,1198,329
0139_01,2,2,1,35.0,1,0.0,0.0,0.0,0.0,0.0,1,1386,3,1376,2,1,0.0,9,43,512,5754
0140_01,1,2,3,24.0,1,0.0,0.0,0.0,0.0,0.0,1,1291,7,921,1,2,0.0,7,37,4374,5526
0140_02,1,1,3,26.0,1,440.0,0.0,0.0,0.0,462.0,0,2169,6,1032,1,2,902.0,7,36,1520,853
0141_01,3,1,3,31.0,1,676.0020618738629,0.0,97.0,0.0,0.0,0,932,6,1044,1,1,773.0020618738629,15,16,1531,872
0144_01,1,1,3,20.0,1,0.0,420.0,210.0,0.0,0.0,1,553,6,1055,2,1,630.0,7,36,1542,888
0146_01,1,1,3,56.0,1,0.0,0.0,0.0,0.0,0.0,0,2196,7,988,2,1,0.0,7,36,4437,5627
0147_01,1,2,3,50.0,1,0.0,0.0,0.0,0.0,0.0,1,1024,7,999,2,1,0.0,7,37,4449,5646
0148_01,3,1,3,42.0,1,1072.0,0.0,10.0,0.0,76.0,0,1490,6,1055,1,1,1158.0,15,16,1542,887
0149_01,1,2,1,22.32144777721444,1,0.0,0.0,0.0,0.0,0.0,1,1024,7,1010,2,1,0.0,5,31,3122,3456
0151_01,1,2,1,38.0,1,0.0,0.0,0.0,0.0,0.0,0,1852,7,933,1,1,0.0,5,31,4386,5544
0152_01,1,1,0,41.0,1,0.0,0.0,0.0,0.0,607.0,0,669,6,1066,1,1,607.0,4,27,1553,905
0160_01,1,1,3,22.0,1,4119.0,0.0,0.0,0.0,61.0,0,77,7,955,1,1,4180.0,7,36,4408,5582
0163_01,2,2,3,26.0,1,0.0,0.0,0.0,0.0,0.0,1,969,2,1597,1,2,0.0,11,5,232,2184
0163_02,2,2,3,17.0,1,0.0,0.0,0.0,0.0,0.0,1,969,2,1597,1,2,0.0,11,5,232,2184
0164_01,1,1,3,57.0,1,50.0,1688.0,0.0,595.9179375023216,135.0,1,1037,7,1021,2,2,2468.9179375023214,7,36,3134,3478
0164_02,1,2,2,17.0,1,0.0,0.0,0.0,0.0,0.0,0,1037,7,1021,2,2,0.0,6,34,3134,3478
0165_01,3,2,3,35.0,0,0.0,0.0,0.0,0.0,0.0,1,43,6,1121,1,1,0.0,15,17,1602,984
0167_01,3,2,3,13.0,1,0.0,0.0,0.0,0.0,0.0,1,729,6,1099,2,2,0.0,15,17,1582,951
0167_02,3,1,3,27.0,1,1365.0,0.0,48.0,22.0,137.0,0,729,6,1099,2,2,1572.0,15,16,1582,951
0169_01,1,2,3,31.0,1,0.0,0.0,0.0,0.0,0.0,0,710,7,966,1,1,0.0,7,37,4418,5599
0170_01,1,1,3,24.0,1,0.0,0.0,0.0,221.0,567.0,0,1282,5,3,2,1,788.0,7,36,1351,576
0171_01,1,2,2,19.0,1,0.0,0.0,0.0,0.0,0.0,1,875,7,1044,2,1,0.0,6,34,3156,3514
0172_01,1,2,3,32.0,1,0.0,0.0,0.0,0.0,0.0,1,1097,7,977,1,1,0.0,7,37,4426,5611
0173_01,1,0,3,58.0,1,0.0,985.0,0.0,5.0,0.0,1,892,5,113,2,1,990.0,7,35,1079,127
0174_01,1,1,1,21.0,1,287.0,0.0,16.0,115.0,175.0,0,1168,6,1132,1,1,593.0,5,30,1613,1002
0177_01,2,1,3,38.0,1,0.0,10346.0,1.0,14970.0,2111.0,0,1073,2,932,2,1,27428.0,11,4,348,4062
0178_01,3,1,3,38.0,1,3414.0,0.0,161.0,28.0,119.0,0,1149,4,1376,2,1,3722.0,15,16,769,6172
0179_01,1,1,3,19.0,1,1.0,219.0,673.0,2.0,11.0,1,2153,7,999,1,3,906.0,7,36,4449,5645
0179_02,1,1,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0,2153,7,999,1,3,0.0,7,36,4449,5645
0179_03,1,1,3,3.0,1,0.0,0.0,0.0,0.0,0.0,1,2153,7,999,1,3,0.0,7,36,4449,5645
0181_01,1,1,3,20.0,1,0.0,0.0,3.0,299.0,92.0,0,252,7,1010,1,1,394.0,7,36,3122,3455
0182_01,2,2,3,24.0,1,0.0,0.0,0.0,0.0,0.0,1,598,3,1043,1,1,0.0,11,5,449,5658
0183_01,1,1,3,37.0,1,17.0,146.0,426.0,0.0,232.0,1,2148,6,1110,2,1,821.0,7,36,1592,969
0186_01,1,1,3,25.0,1,62.0,0.0,0.0,0.0,956.0,0,1834,7,1021,1,1,1018.0,7,36,3134,3477
0188_01,1,2,3,56.0,1,0.0,0.0,0.0,0.0,0.0,1,1740,7,1055,2,1,0.0,7,37,3167,3533
0189_01,1,1,1,49.0,1,84.0,3.0,401.0,202.0,98.0,0,211,5,1597,1,1,788.0,5,30,1318,523
0190_01,1,2,1,11.0,1,0.0,0.0,0.0,0.0,0.0,0,0,7,1066,2,1,0.0,5,31,3179,3550
0192_01,1,2,3,1.0,1,0.0,0.0,0.0,0.0,0.0,1,3,7,1032,1,3,0.0,7,37,3144,3494
0192_02,1,1,3,8.0,1,0.0,0.0,0.0,0.0,0.0,0,3,7,1032,1,3,0.0,7,36,3144,3494
0192_03,1,1,3,39.0,1,0.0,0.0,10.0,898.0,0.0,0,3,7,1032,1,3,908.0,7,36,3144,3494
0193_01,3,2,3,2.0,1,0.0,0.0,0.0,0.0,0.0,1,1657,6,1166,1,3,0.0,15,17,1640,1043
0193_02,3,1,3,23.0,1,642.8569059814463,0.0,8.0,1072.0,0.0,0,1657,6,1166,1,3,1722.8569059814463,15,16,1640,1043
0193_03,3,1,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1,1657,6,1166,1,3,0.0,15,16,1640,1043
0195_01,3,1,3,39.0,1,406.0,0.0,867.0,0.0,0.0,1,729,6,1177,1,1,1273.0,15,16,1652,1067
0196_01,3,1,2,25.0,1,1052.0,0.0,719.0,0.0,7.0,0,646,4,1265,1,1,1778.0,14,13,758,6154
0197_01,2,1,3,36.0,1,0.0,972.0,0.0,795.0,575.0,0,600,3,1265,1,1,2342.0,11,4,501,5733
0198_01,1,0,2,52.0,1,0.0,0.0,0.0,0.0,0.0,1,477,7,1044,1,1,0.0,6,32,3156,3513
0199_01,1,2,3,18.0,1,0.0,0.0,0.0,0.0,0.0,0,1369,7,1077,2,1,0.0,7,37,3189,3565
0200_01,1,2,3,15.0,1,0.0,0.0,0.0,0.0,0.0,1,451,7,1055,1,1,0.0,7,37,3167,3532
0201_01,2,2,3,35.0,1,0.0,0.0,0.0,0.0,0.0,1,87,2,1043,2,2,0.0,11,5,141,689
0201_02,2,2,3,47.0,1,0.0,0.0,0.0,0.0,0.0,1,87,2,1043,2,2,0.0,11,5,141,689
0202_01,2,2,1,45.0,1,0.0,0.0,0.0,0.0,0.0,1,645,2,1708,1,2,0.0,9,43,243,2368
0202_02,2,1,1,33.69575551493945,1,0.0,2433.0,157.64854360097408,878.0,443.0,1,645,1,932,1,2,3911.648543600974,9,42,90,6407
0203_01,2,2,3,51.0,1,0.0,0.0,0.0,0.0,0.0,1,950,3,1597,2,1,0.0,11,5,534,5789
0205_01,1,1,3,29.0,1,0.0,2.0,66.0,0.0,705.0,0,1448,7,1088,2,1,773.0,7,36,3199,3581
0206_01,2,1,1,33.601728971015746,1,2.0,1720.0,12.0,1125.0,122.0,1,264,3,1708,2,1,2981.0,9,42,546,5809
0207_01,1,2,2,19.0,1,0.0,0.0,0.0,0.0,0.0,0,1263,7,1066,1,1,0.0,6,34,3179,3549
0210_01,0,2,1,24.0,1,0.0,0.0,164.9471912743545,0.0,0.0,1,1072,4,1376,1,1,164.9471912743545,1,20,769,6171
0211_01,3,1,3,29.0,1,902.0,1.0,137.0,0.0,0.0,1,62,6,1199,1,3,1040.0,15,16,1674,1105
0211_02,3,2,3,11.0,1,0.0,0.0,0.0,0.0,0.0,1,62,6,1199,1,3,0.0,15,17,1674,1105
0211_03,3,1,3,17.0,1,848.0,0.0,307.0,182.0,0.0,0,541,6,1199,1,3,1337.0,15,16,1674,1105
0212_01,1,1,3,13.0,1,192.0,0.0,0.0,51.0,739.0,0,2209,5,1708,1,2,982.0,7,36,1328,537
0212_02,1,1,3,35.0,1,147.0,188.0,0.0,10.0,387.0,0,2209,6,1210,1,2,732.0,7,36,1685,1125
0213_01,1,1,3,21.0,1,367.0,281.0,0.0,0.0,146.0,0,1400,6,1221,1,1,794.0,7,36,1696,1141
0216_01,1,1,1,21.0,1,0.0,56.0,0.0,0.0,1918.0,0,819,6,1155,2,1,1974.0,5,30,1631,1031
0217_01,1,1,3,38.0,1,1517.0,0.0,0.0,27.0,0.0,0,1836,6,1232,1,1,1544.0,7,36,1707,1161
0219_01,1,2,3,19.0,1,0.0,0.0,0.0,0.0,0.0,1,1721,7,1110,1,1,0.0,7,37,3224,3624
0220_01,1,2,3,2.0,1,0.0,0.0,0.0,0.0,0.0,1,2183,7,1121,1,7,0.0,7,37,3234,3641
0220_02,1,1,3,0.0,1,0.0,0.0,0.0,0.0,0.0,1,2183,7,1121,1,7,0.0,7,36,3234,3641
0220_03,1,2,3,13.0,1,0.0,0.0,0.0,0.0,0.0,0,2183,7,1121,1,7,0.0,7,37,3234,3641
0220_04,1,1,3,25.0,1,122.0,84.0,169.59271582073623,0.0,0.0,0,2183,5,3,1,7,375.5927158207362,7,36,1351,575
0220_05,1,1,3,16.0,1,0.0,3.0,0.0,0.0,1099.0,0,2183,6,1243,1,7,1102.0,7,36,1716,1177
0220_06,1,1,1,1.0,1,0.0,0.0,0.0,0.0,0.0,0,2183,7,1121,1,7,0.0,5,30,3234,3641
0220_07,1,2,3,15.0,1,0.0,0.0,0.0,0.0,0.0,1,2183,7,1121,1,7,0.0,7,37,3234,3641
0221_01,3,1,1,21.0,1,2237.0,0.0,119.0,0.0,0.0,0,184,5,330,2,7,2356.0,13,10,1354,581
0221_02,3,1,3,23.0,1,1215.0,80.0,1.0,2.0,0.0,0,1684,5,330,2,7,1298.0,15,16,1354,581
0221_03,3,1,3,33.0,1,1933.0,12.0,188.0,1.0,0.0,0,1684,5,330,2,7,2134.0,15,16,1354,581
0221_04,3,2,3,21.0,1,0.0,0.0,0.0,0.0,0.0,1,1684,5,330,2,7,0.0,15,17,1354,581
0221_05,3,1,3,41.0,1,1230.0,0.0,301.0,43.0,1023.0,0,1684,5,330,2,7,2597.0,15,16,1354,581
0221_06,3,1,3,16.0,1,915.0,0.0,221.0,234.0,0.0,0,1684,5,330,2,7,1370.0,15,16,1354,581
